Term,System,Code,Display,Confidence,Match Type
"Diabetes mellitus",snomed,73211009,"Diabetes mellitus",0.950,api
"Diabetes mellitus",snomed,49817004,"Neonatal diabetes mellitus",0.950,api
"Diabetes mellitus",snomed,444913002,"Diabetes mellitus service",0.950,api
"Diabetes mellitus",snomed,11687002,"Gestational diabetes mellitus",0.950,api
"Diabetes mellitus",snomed,315216001,"Diabetes mellitus excluded",0.950,api
"Diabetes mellitus",loinc,Diabetes mellitus,"Diabetes mellitus",0.950,api
"Diabetes mellitus",loinc,Diabetes Mellitus (DM),"Diabetes Mellitus (DM)",0.950,api
"Diabetes mellitus",loinc,4-Deoxythreonate SerPl-sCnc,"4-Deoxythreonate SerPl-sCnc",0.950,api
"Diabetes mellitus",loinc,4-Deoxythreonate/Creat Ur-sRto,"4-Deoxythreonate/Creat Ur-sRto",0.950,api
"Diabetes mellitus",loinc,IDDM Patient Ql,"IDDM Patient Ql",0.950,api
"Hypertension",snomed,38341003,"Hypertensive disorder",0.950,api
"Hypertension",snomed,762463000,"Diastolic hypertension and systolic hypertension",0.950,api
"Hypertension",snomed,39155009,"Hypertension education",0.950,api
"Hypertension",snomed,48146000,"Diastolic hypertension",0.950,api
"Hypertension",snomed,5501000119106,"Postoperative hypertension",0.950,api
"Hypertension",loinc,Hypertension,"Hypertension",0.950,api
"Hypertension",loinc,Hypertension,"Hypertension",0.950,api
"Hypertension",loinc,Pulmonary hypertension Reported,"Pulmonary hypertension Reported",0.950,api
"Hypertension",loinc,Pulmonary hypertension class,"Pulmonary hypertension class",0.950,api
"Hypertension",loinc,Deprecated VA C&P exam hypertension,"Deprecated VA C&P exam hypertension",0.950,api
"Asthma",snomed,195967001,"Asthma",0.950,api
"Asthma",snomed,370218001,"Mild asthma",0.950,api
"Asthma",snomed,400987003,"Asthma trigger",0.950,api
"Asthma",snomed,57607007,"Occupational asthma",0.950,api
"Asthma",snomed,702823004,"Asthma clinic",0.950,api
"Asthma",loinc,Asthma tracking panel,"Asthma tracking panel",0.950,api
"Asthma",loinc,Asthma stop age PhenX,"Asthma stop age PhenX",0.950,api
"Asthma",loinc,Asthma Dr confirmed PhenX,"Asthma Dr confirmed PhenX",0.950,api
"Asthma",loinc,Asthma ever 6 PhenX,"Asthma ever 6 PhenX",0.950,api
"Asthma",loinc,Asthma still have PhenX,"Asthma still have PhenX",0.950,api
"Pneumonia",snomed,233604007,"Pneumonia",0.950,api
"Pneumonia",snomed,195889001,"Legionella pneumonia",0.950,api
"Pneumonia",snomed,314978007,"Postoperative pneumonia",0.950,api
"Pneumonia",snomed,53084003,"Bacterial pneumonia",0.950,api
"Pneumonia",snomed,76090006,"Pittsburgh pneumonia",0.950,api
"Pneumonia",loinc,Pneumonia,"Pneumonia",0.950,api
"Pneumonia",loinc,Pneumonia,"Pneumonia",0.950,api
"Pneumonia",loinc,Pneumonia probability AI based calc,"Pneumonia probability AI based calc",0.950,api
"Pneumonia",loinc,Pneumonia ever PhenX,"Pneumonia ever PhenX",0.950,api
"Pneumonia",loinc,Pneumonia Dr confirmed PhenX,"Pneumonia Dr confirmed PhenX",0.950,api
"Myocardial infarction",snomed,22298006,"Myocardial infarction",0.950,api
"Myocardial infarction",snomed,194856005,"Subsequent myocardial infarction",0.950,api
"Myocardial infarction",snomed,113155009,"Myocardial infarction education",0.950,api
"Myocardial infarction",snomed,266897007,"FH: Myocardial infarction",0.950,api
