code,term,display,component,property,time,system,scale,method
4548-4,hemoglobin a1c,Hemoglobin A1c/Hemoglobin.total in Blood,Hemoglobin A1c,MFr,Pt,Bld,Qn,
2339-0,blood glucose,Glucose [Mass/volume] in Blood,Glucose,MCnc,Pt,Bld,Qn,
2951-2,serum sodium,Sodium [Moles/volume] in Serum or Plasma,Sodium,SCnc,Pt,Ser/Plas,Qn,
2823-3,serum potassium,Potassium [Moles/volume] in Serum or Plasma,Potassium,SCnc,Pt,Ser/Plas,Qn,
1975-2,serum calcium,Calcium [Mass/volume] in Serum or Plasma,Calcium,MCnc,Pt,Ser/Plas,Qn,
14682-9,creatinine clearance,Creatinine renal clearance in 24 hour Urine and Serum or Plasma,Creatinine clearance,VRat,24H,Ur+Ser/Plas,Qn,
2160-0,serum creatinine,Creatinine [Mass/volume] in Serum or Plasma,Creatinine,MCnc,Pt,Ser/Plas,Qn,
1742-6,alanine aminotransferase,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ALT,CCnc,Pt,Ser/Plas,Qn,
1920-8,aspartate aminotransferase,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST,CCnc,Pt,Ser/Plas,Qn,
6690-2,white blood cell count,Leukocytes [#/volume] in Blood,WBC,NCnc,Pt,Bld,Qn,
718-7,hemoglobin,Hemoglobin [Mass/volume] in Blood,Hgb,MCnc,Pt,Bld,Qn,
26515-7,platelet count,Platelets [#/volume] in Blood,Platelets,NCnc,Pt,Bld,Qn,
14959-1,microalbumin urine,Microalbumin [Mass/volume] in Urine,Microalbumin,MCnc,Pt,Ur,Qn,
4544-3,hematocrit,Hematocrit [Volume Fraction] of Blood,Hematocrit,VFr,Pt,Bld,Qn,
2093-3,cholesterol total,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,MCnc,Pt,Ser/Plas,Qn,
